Sellar ID,seller_date,clean_date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,customerName,Walmart_Sales_Test
10,5/2/2010,5/2/2010,"1,665,690.90",FALSE,42.31,2.57,211.1,Ali,5.43
20,12/2/2010,5/3/2010,"1,641,957.44",TRUE,38.51,2.55,211.29,Omer,5.39
30,19/02/2010,5/4/2010,"1,611,968.17",FALSE,39.93,2.51,211.29,Ahmed,5.3
40,26/02/2010,5/5/2010,"1,409,727.59",FALSE,46.63,2.56,211.32,Ali,5.41
50,5/3/2010,5/6/2010,"1,554,806.68",FALSE,46.5,2.62,211.35,amjad,5.54
60,19/02/2018,19/02/2018,"1,594,968.28",TRUE,unknowm,3.25,211.29,waleed,unknowm
70,19/03/2010,25/02/2018,"1,472,515.79",TRUE,54.58,2.72,211.22,mustafa,5.75
80,26/03/2010,5/9/2010,"1,404,429.92",FALSE,51.45,2.73,211.02,Ahmed,5.76
90,2/4/2010,5/10/2010,"1,594,968.28",FALSE,62.27,2.72,210.82,Omer,5.73
100,9/4/2010,5/11/2010,"1,545,418.53",FALSE,65.86,2.77,210.62,ali,5.83
110,19/02/2010,5/12/2010,"1,611,968.17",TRUE,39.93,2.51,211.29,Ahmed,5.3
